Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
33.926820800,1,0,0,0,1,0,0,0
34.330178880,1,0,0,0,0,1,0,0
34.330956000,1,0,0,0,1,0,1,0
34.331586720,1,0,0,0,0,0,0,1
34.331609440,1,0,0,0,1,1,0,0
34.387608320,1,0,0,0,1,0,0,1
34.408940480,0,1,0,0,1,0,0,1
34.414061440,0,1,0,0,1,0,1,1
34.414061600,0,1,0,0,0,0,1,1
34.414061760,0,1,0,0,0,0,0,1
34.414061920,0,1,0,0,0,1,1,1
34.414062080,0,1,0,0,0,1,1,0
34.421122720,0,1,0,0,1,1,1,0
34.426741120,1,0,0,0,1,0,0,0
34.909052640,0,1,0,0,1,0,0,1
34.914176160,0,1,0,0,0,0,1,0
34.914176320,0,1,0,0,0,0,0,1
34.914176640,0,1,0,0,0,1,1,1
34.914176800,0,1,0,0,0,1,1,0
34.921234560,0,1,0,0,1,1,1,0
34.926853760,1,0,0,0,1,0,0,0
35.330183040,1,0,0,0,0,1,0,0
35.330961600,1,0,0,0,1,0,1,0
35.331593920,1,0,0,0,0,0,0,1
35.331616480,1,0,0,0,1,1,0,1
35.331616640,1,0,0,0,1,1,0,0
35.387529120,1,0,0,0,1,0,0,1
35.409059680,0,1,0,0,1,0,0,1
35.414180320,0,1,0,0,0,0,1,0
35.414180480,0,1,0,0,0,0,0,1
35.414180800,0,1,0,0,0,1,1,0
35.421242240,0,1,0,0,1,1,1,0
35.426860640,1,1,0,0,1,1,1,0
35.426860800,1,0,0,0,1,0,0,0
35.909077120,0,1,0,0,1,0,0,1
35.914199680,0,1,0,0,0,0,1,0
35.914200000,0,1,0,0,0,0,0,1
35.914200320,0,1,0,0,0,1,1,0
35.921258560,0,1,0,0,1,1,1,0
35.926877920,1,0,0,0,1,0,0,0
36.330296800,1,0,0,0,0,1,0,0
36.331062080,1,0,0,0,1,0,1,0
36.331695840,1,0,0,0,0,0,0,1
36.331717600,1,0,0,0,1,1,0,0
36.387631040,1,0,0,0,1,0,0,1
36.409084320,0,1,0,0,1,0,0,1
36.414204480,0,1,0,0,0,0,1,0
36.414204640,0,1,0,0,0,0,0,1
36.414204960,0,1,0,0,0,1,1,0
36.421266240,0,1,0,0,1,1,1,0
36.426884800,1,0,0,0,1,0,0,0
36.909092640,0,1,0,0,1,0,0,1
36.914216320,0,1,0,0,0,0,1,0
36.914216640,0,1,0,0,0,0,0,1
36.914216960,0,1,0,0,0,1,1,0
36.921274560,0,1,0,0,1,1,1,0
36.926893920,1,0,0,0,1,0,0,0
37.330301280,1,0,0,0,0,1,0,0
37.331076960,1,0,0,0,1,0,1,0
37.331711360,1,0,0,0,0,0,0,1
37.331734240,1,0,0,0,1,1,0,0
37.387655520,1,0,0,0,1,0,0,1
37.409004800,0,1,0,0,1,0,0,1
37.414124960,0,1,0,0,0,0,1,0
37.414125120,0,1,0,0,0,0,0,1
37.414125440,0,1,0,0,0,1,1,0
37.421187200,0,1,0,0,1,1,1,0
37.426805280,1,0,0,0,1,0,0,0
37.909021920,0,1,0,0,1,0,0,1
37.914145600,0,1,0,0,0,0,1,0
37.914145760,0,1,0,0,0,0,0,1
37.914146080,0,1,0,0,0,1,1,0
37.921203360,0,1,0,0,1,1,1,0
37.926822880,1,0,0,0,1,0,0,0
38.330330720,1,0,0,0,0,1,0,0
38.331100000,1,0,0,0,1,0,1,0
38.331735840,1,0,0,0,0,0,0,1
38.331758080,1,0,0,0,1,1,0,0
38.387671040,1,0,0,0,1,0,0,1
38.409124320,0,1,0,0,1,0,0,1
38.414244320,0,1,0,0,0,0,1,0
38.414244480,0,1,0,0,0,0,0,1
38.414244640,0,1,0,0,0,1,1,0
38.421306720,0,1,0,0,1,1,1,0
38.426924800,1,0,0,0,1,0,0,0
38.909141120,0,1,0,0,1,0,0,1
38.914264800,0,1,0,0,0,0,1,0
38.914265120,0,1,0,0,0,0,0,1
38.914265440,0,1,0,0,0,1,1,0
38.921322720,0,1,0,0,1,1,1,0
38.926942400,1,0,0,0,1,0,0,0
39.330325760,1,0,0,0,0,1,0,0
39.331105760,1,0,0,0,1,0,1,0
39.331734240,1,0,0,0,0,0,0,1
39.331756640,1,0,0,0,1,1,0,0
39.387686720,1,0,0,0,1,0,0,1
39.409139680,0,1,0,0,1,0,0,1
39.414260320,0,1,0,0,0,0,1,0
39.414260480,0,1,0,0,0,0,0,1
39.414260800,0,1,0,0,0,1,1,0
39.421322080,0,1,0,0,1,1,1,0
39.426940640,1,0,0,0,1,0,0,0
39.909156960,0,1,0,0,1,0,0,1
39.914279520,0,1,0,0,0,0,1,0
39.914279680,0,1,0,0,0,0,0,1
39.914280000,0,1,0,0,0,1,1,0
39.921338560,0,1,0,0,1,1,1,0
39.926957760,1,0,0,0,1,0,0,0
40.330341440,1,0,0,0,0,1,0,0
40.331111360,1,0,0,0,1,0,1,0
40.331741120,1,0,0,0,0,0,0,1
40.331763520,1,0,0,0,1,1,0,0
40.387702240,1,0,0,0,1,0,0,1
40.409164480,0,1,0,0,1,0,0,1
40.414284480,0,1,0,0,0,0,1,0
40.414284640,0,1,0,0,0,0,0,1
40.414284960,0,1,0,0,0,1,1,0
40.421346720,0,1,0,0,1,1,1,0
40.426964800,1,0,0,0,1,0,0,0
40.909181120,0,1,0,0,1,0,0,1
40.914303840,0,1,0,0,1,0,1,1
40.914304000,0,1,0,0,0,0,1,0
40.914304160,0,1,0,0,0,0,0,1
40.914304480,0,1,0,0,0,1,1,0
40.921362880,0,1,0,0,1,1,1,0
40.926982240,1,0,0,0,1,0,0,0
41.330352480,1,0,0,0,0,1,0,0
41.331116640,1,0,0,0,1,0,1,0
41.331748000,1,0,0,0,0,0,1,1
41.331748160,1,0,0,0,0,0,0,1
41.331771040,1,0,0,0,1,1,0,0
41.387709760,1,0,0,0,1,0,0,1
41.409179840,0,1,0,0,1,0,0,1
41.414300000,0,1,0,0,0,0,1,0
41.414300160,0,1,0,0,0,0,0,1
41.414300480,0,1,0,0,0,1,1,0
41.421361920,0,1,0,0,1,1,1,0
41.426980960,1,0,0,0,1,0,0,0
41.909197120,0,1,0,0,1,0,0,1
41.914319840,0,1,0,0,0,0,1,0
41.914320000,0,1,0,0,0,0,1,1
41.914320160,0,1,0,0,0,0,0,1
41.914320480,0,1,0,0,0,1,1,0
41.921378560,0,1,0,0,1,1,1,0
41.926997760,1,0,0,0,1,0,0,0
42.330367520,1,0,0,0,0,1,0,0
42.331131360,1,0,0,0,1,0,1,0
42.331764000,1,0,0,0,0,0,0,1
42.331786400,1,0,0,0,1,1,0,0
42.387724960,1,0,0,0,1,0,0,1
42.409204480,0,1,0,0,1,0,0,1
42.414324320,0,1,0,0,0,0,1,0
42.414324480,0,1,0,0,0,0,0,1
42.414324800,0,1,0,0,0,1,1,0
42.421386560,0,1,0,0,1,1,1,0
42.427004480,1,0,0,0,1,0,0,0
42.909212480,0,1,0,0,1,0,0,1
42.914335520,0,1,0,0,0,0,1,0
42.914335680,0,1,0,0,0,0,0,1
42.914336000,0,1,0,0,0,1,1,0
42.921394080,0,1,0,0,1,1,1,0
42.927013760,1,0,0,0,1,0,0,0
43.330373280,1,0,0,0,0,1,0,0
43.331137440,1,0,0,0,1,0,1,0
43.331770880,1,0,0,0,1,0,1,1
43.331771040,1,0,0,0,0,0,0,1
43.331793280,1,0,0,0,1,1,0,1
43.331793440,1,0,0,0,1,1,0,0
43.387749600,1,0,0,0,1,0,0,1
43.409219680,0,1,0,0,1,0,0,1
43.414340160,0,1,0,0,0,0,1,1
43.414340320,0,1,0,0,0,0,0,1
43.414340640,0,1,0,0,0,1,1,0
43.421401920,0,1,0,0,1,1,1,0
43.427020800,1,0,0,0,1,0,0,0
43.909237120,0,1,0,0,1,0,0,1
43.914359520,0,1,0,0,0,0,1,0
43.914359840,0,1,0,0,0,0,0,1
43.914360160,0,1,0,0,0,1,1,0
43.921418400,0,1,0,0,1,1,1,0
43.927038080,1,0,0,0,1,0,0,0
44.330381760,1,0,0,0,0,1,0,0
44.331151360,1,0,0,0,1,0,1,0
44.331786880,1,0,0,0,0,0,0,1
44.331808960,1,0,0,0,1,1,0,1
44.331809120,1,0,0,0,1,1,0,0
44.387756320,1,0,0,0,1,0,0,1
44.409244160,0,1,0,0,1,0,0,1
44.414364800,0,1,0,0,0,0,1,0
44.414364960,0,1,0,0,0,0,0,1
44.414365440,0,1,0,0,0,1,1,0
44.421426400,0,1,0,0,1,1,1,0
44.427044640,1,0,0,0,1,0,0,0
44.909261120,0,1,0,0,1,0,0,1
44.914384160,0,1,0,0,0,0,1,0
44.914384480,0,1,0,0,0,0,0,1
44.914384800,0,1,0,0,0,1,1,0
44.921442720,0,1,0,0,1,1,1,0
44.927062560,1,0,0,0,1,0,0,0
45.330401120,1,0,0,0,0,1,0,0
45.331165600,1,0,0,0,1,0,1,0
45.331802080,1,0,0,0,0,0,0,1
45.331825280,1,0,0,0,1,1,0,0
45.387780800,1,0,0,0,1,0,0,1
45.409173280,0,1,0,0,1,0,0,1
45.414293760,0,1,0,0,0,0,1,0
45.414293920,0,1,0,0,0,0,0,1
45.414294240,0,1,0,0,0,1,1,0
45.421355520,0,1,0,0,1,1,1,0
45.426974080,1,0,0,0,1,0,0,0
45.909277120,0,1,0,0,1,0,0,1
45.914399200,0,1,0,0,0,0,1,0
45.914399520,0,1,0,0,0,0,0,1
45.914399840,0,1,0,0,0,1,1,0
45.921458560,0,1,0,0,1,1,1,0
45.927077440,1,0,0,0,1,0,0,0
46.330401760,1,0,0,0,0,1,0,0
46.331180000,1,0,0,0,1,1,1,0
46.331180160,1,0,0,0,1,0,1,0
46.331809600,1,0,0,0,0,0,0,1
46.331832160,1,0,0,0,1,1,0,0
46.387787680,1,0,0,0,1,0,0,1
46.409283840,0,1,0,0,1,0,0,1
46.414403840,0,1,0,0,0,0,1,0
46.414404000,0,1,0,0,0,0,0,1
46.414404160,0,1,0,0,0,1,1,1
46.414404320,0,1,0,0,0,1,1,0
46.421466560,0,1,0,0,1,1,1,0
46.427084640,1,0,0,0,1,0,0,0
46.909292320,0,1,0,0,1,0,0,1
46.914415840,0,1,0,0,0,0,1,0
46.914416000,0,1,0,0,0,0,0,1
46.914416480,0,1,0,0,0,1,1,0
46.921473920,0,1,0,0,1,1,1,0
46.927093440,1,0,0,0,1,0,0,0
47.330342240,1,0,0,0,0,1,0,0
47.331108000,1,0,0,0,1,0,1,0
47.331738720,1,0,0,0,0,0,0,1
47.331761280,1,0,0,0,1,1,0,0
