Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
56.426360800,0,0,0,1,0,0,0,0,1,0
56.426369400,0,0,0,1,0,0,0,0,1,1
56.426395350,0,0,0,1,0,0,0,0,1,0
56.426438550,0,0,0,1,0,0,0,0,1,1
56.426447200,0,0,0,1,0,0,0,0,1,0
56.426464450,0,0,0,1,0,0,0,0,1,1
56.426473100,0,0,0,1,0,0,0,0,1,0
56.426516300,0,0,0,1,0,0,0,0,1,1
56.426533600,0,0,0,1,0,0,0,0,1,0
56.426542200,0,0,0,1,0,0,0,0,1,1
56.426576800,0,0,0,1,0,0,0,0,1,0
56.426602700,0,0,0,1,0,0,0,0,1,1
56.426620000,0,0,0,1,0,0,0,0,1,0
56.426620850,0,0,0,1,0,0,0,1,1,0
56.426621150,0,0,0,1,1,1,0,1,1,0
56.426621300,0,0,0,0,1,1,0,1,1,0
56.426621450,0,0,0,1,0,0,1,1,1,0
56.426697750,0,0,0,1,0,0,1,1,1,1
56.427946500,1,0,0,1,0,0,1,0,1,1
56.427947800,1,0,0,1,0,0,1,1,1,1
56.442685650,1,0,0,1,0,0,1,1,1,0
56.442685700,1,0,0,1,0,0,1,1,1,1
56.442685750,1,0,0,1,0,0,1,1,1,0
56.444554600,1,0,0,1,0,0,1,1,1,1
56.446665400,1,0,0,1,0,0,1,1,1,0
56.446800400,1,0,0,1,0,0,1,1,1,1
56.446801000,1,0,0,1,0,0,1,1,1,0
56.446801050,1,0,0,1,0,0,1,1,1,1
56.447083200,1,0,0,1,0,0,1,1,1,0
56.447136400,1,0,0,1,0,0,1,1,1,1
56.447137150,1,0,0,1,0,0,1,1,1,0
56.447139700,1,0,0,1,0,0,1,1,1,1
56.447213650,1,0,0,1,0,0,1,1,1,0
56.460337350,1,0,0,1,0,0,1,1,1,1
56.499263650,1,0,0,1,0,0,1,1,1,0
56.641052350,1,0,0,1,0,0,1,1,0,0
56.641483900,1,0,0,1,0,0,1,1,1,1
56.641489250,1,0,0,1,0,0,1,1,1,0
56.641561500,1,0,0,1,0,0,1,1,0,0
56.641569400,1,0,0,1,0,0,1,1,1,0
56.642113700,1,0,0,1,0,0,1,1,0,0
56.642436300,1,0,0,1,0,0,1,1,1,0
56.642436350,1,0,0,1,0,0,1,1,1,1
56.642439750,1,0,0,1,0,0,1,1,1,0
56.642914300,1,0,0,1,0,0,1,1,0,0
56.642943650,1,0,0,1,0,0,1,1,1,0
56.643409600,1,0,0,1,0,0,1,1,0,0
56.643414150,1,0,0,1,0,0,1,1,1,0
56.643650850,1,0,0,1,0,0,1,1,0,0
56.645144350,1,0,0,1,0,0,1,1,1,0
56.645144400,1,0,0,1,0,0,1,1,1,1
56.645149000,1,0,0,1,0,0,1,1,1,0
56.645149050,1,0,0,1,0,0,1,1,1,1
56.645149150,1,0,0,1,0,0,1,1,1,0
56.749859500,0,0,0,0,1,0,1,0,1,0
56.749881600,0,0,0,0,1,0,1,1,1,0
56.844268200,0,0,0,0,1,0,1,1,0,0
56.845766350,0,0,0,0,1,0,1,1,1,0
56.845766400,0,0,0,0,1,0,1,1,1,1
56.845770050,0,0,0,0,1,0,1,1,1,0
56.845849550,0,0,0,0,1,0,1,1,0,0
56.845919150,0,0,0,0,1,0,1,1,1,0
56.845987300,0,0,0,0,1,0,1,1,0,0
56.846281100,0,0,0,0,1,0,1,1,1,0
56.846283650,0,0,0,0,1,0,1,1,0,0
56.846408600,0,0,0,0,1,0,1,1,1,0
56.846585700,0,0,0,0,1,0,1,1,0,0
56.927956450,1,0,0,1,0,0,1,0,0,0
56.927959000,1,0,0,1,0,0,1,1,0,0
57.027973350,1,0,0,1,0,0,1,1,1,0
57.027975400,1,0,0,1,0,0,1,1,1,1
57.027977850,1,0,0,1,0,0,1,1,1,0
57.070887600,1,0,0,1,0,0,1,1,0,0
57.082058650,1,0,0,1,0,0,1,1,1,0
57.082058700,1,0,0,1,0,0,1,1,1,1
57.082063000,1,0,0,1,0,0,1,1,1,0
57.082115800,1,0,0,1,0,0,1,1,0,0
57.082127650,1,0,0,1,0,0,1,1,1,0
57.084624900,1,0,0,1,0,0,1,1,0,0
57.084625400,1,0,0,1,0,0,1,1,1,0
57.084633700,1,0,0,1,0,0,1,1,0,0
57.084667900,1,0,0,1,0,0,1,1,1,0
57.086586050,1,0,0,1,0,0,1,1,0,0
57.086909500,1,0,0,1,0,0,1,1,1,0
57.086910800,1,0,0,1,0,0,1,1,0,0
57.086969800,1,0,0,1,0,0,1,1,1,0
57.090611500,1,0,0,1,0,0,1,1,0,0
57.090613450,1,0,0,1,0,0,1,1,1,0
57.094194750,1,0,0,1,0,0,1,1,0,0
57.094272300,1,0,0,1,0,0,1,1,1,0
57.095646050,1,0,0,1,0,0,1,1,0,0
57.095652450,1,0,0,1,0,0,1,1,1,0
57.095752250,1,0,0,1,0,0,1,1,0,0
57.095761350,1,0,0,1,0,0,1,1,1,0
57.095829550,1,0,0,1,0,0,1,1,0,0
57.097760850,1,0,0,1,0,0,1,1,1,1
57.097766250,1,0,0,1,0,0,1,1,1,0
57.097955900,1,0,0,1,0,0,1,1,0,0
57.098255250,1,0,0,1,0,0,1,1,1,0
57.098255300,1,0,0,1,0,0,1,1,1,1
57.098260500,1,0,0,1,0,0,1,1,1,0
57.098700800,1,0,0,1,0,0,1,1,0,0
57.098748350,1,0,0,1,0,0,1,1,1,0
57.098810700,1,0,0,1,0,0,1,1,0,0
57.098813100,1,0,0,1,0,0,1,1,1,0
57.098817000,1,0,0,1,0,0,1,1,0,0
57.098832150,1,0,0,1,0,0,1,1,1,0
57.098939400,1,0,0,1,0,0,1,1,0,0
57.099013200,1,0,0,1,0,0,1,1,1,0
57.177013450,1,0,0,1,0,0,1,1,1,1
57.425719100,0,0,0,1,0,0,1,0,1,1
57.425720500,0,0,0,0,1,0,0,0,1,1
57.425744150,0,0,0,0,1,0,0,1,1,1
57.425745100,0,0,0,0,0,0,1,0,1,1
57.425745450,0,0,0,0,0,0,1,1,1,1
57.425745700,0,0,0,0,1,1,1,0,1,1
57.425745750,0,0,0,0,1,1,0,0,1,1
57.425746900,0,0,0,1,1,1,0,0,1,1
57.425751650,0,0,0,1,0,0,0,0,1,1
57.425761750,0,0,0,1,0,0,0,0,1,0
57.425770400,0,0,0,1,0,0,0,0,1,1
57.425779050,0,0,0,1,0,0,0,0,1,0
57.425839500,0,0,0,1,0,0,0,0,1,1
57.425848150,0,0,0,1,0,0,0,0,1,0
57.425856800,0,0,0,1,0,0,0,0,1,1
57.425865450,0,0,0,1,0,0,0,0,1,0
57.425882700,0,0,0,1,0,0,0,0,1,1
57.425891350,0,0,0,1,0,0,0,0,1,0
57.425925900,0,0,0,1,0,0,0,0,1,1
57.425934550,0,0,0,1,0,0,0,0,1,0
57.425943200,0,0,0,1,0,0,0,0,1,1
57.425951850,0,0,0,1,0,0,0,0,1,0
57.426012300,0,0,0,1,0,0,0,0,1,1
57.426020950,0,0,0,1,0,0,0,0,1,0
57.426029600,0,0,0,1,0,0,0,0,1,1
57.426046900,0,0,0,1,0,0,0,0,1,0
57.426090050,0,0,0,1,0,0,0,0,1,1
57.426107350,0,0,0,1,0,0,0,0,1,0
57.426116000,0,0,0,1,0,0,0,0,1,1
57.426124650,0,0,0,1,0,0,0,0,1,0
57.426185100,0,0,0,1,0,0,0,0,1,1
57.426193750,0,0,0,1,0,0,0,0,1,0
57.426202400,0,0,0,1,0,0,0,0,1,1
57.426211050,0,0,0,1,0,0,0,0,1,0
57.426219650,0,0,0,1,0,0,0,0,1,1
57.426280150,0,0,0,1,0,0,0,0,1,0
57.426288800,0,0,0,1,0,0,0,0,1,1
57.426297450,0,0,0,1,0,0,0,0,1,0
57.426349250,0,0,0,1,0,0,0,0,1,1
57.426366550,0,0,0,1,0,0,0,0,1,0
57.426401100,0,0,0,1,0,0,0,0,1,1
57.426409750,0,0,0,1,0,0,0,0,1,0
57.426444300,0,0,0,1,0,0,0,0,1,1
57.426452950,0,0,0,1,0,0,0,0,1,0
57.426470200,0,0,0,1,0,0,0,0,1,1
57.426478900,0,0,0,1,0,0,0,0,1,0
57.426487500,0,0,0,1,0,0,0,0,1,1
57.426496150,0,0,0,1,0,0,0,0,1,0
57.426504800,0,0,0,1,0,0,0,0,1,1
57.426522100,0,0,0,1,0,0,0,0,1,0
57.426530700,0,0,0,1,0,0,0,0,1,1
57.426539350,0,0,0,1,0,0,0,0,1,0
57.426548000,0,0,0,1,0,0,0,0,1,1
57.426556650,0,0,0,1,0,0,0,0,1,0
57.426582550,0,0,0,1,0,0,0,0,1,1
57.426591200,0,0,0,1,0,0,0,0,1,0
57.426599800,0,0,0,1,0,0,0,0,1,1
57.426608500,0,0,0,1,0,0,0,0,1,0
57.426617100,0,0,0,1,0,0,0,0,1,1
