Time [s],Value,Parity Error,Framing Error
167.326759500000009,0x0A,,
167.326845899999995,0x02,,
167.326932300000010,0x84,,
167.327018699999996,0x24,,
167.327105100000011,0xE2,,
167.327191499999998,0xC1,,
167.327277900000013,0x99,,
167.327364299999999,0x02,,
167.327450700000014,0x62,,
167.327537100000001,0x7E,,
167.327623499999987,0x00,,
167.826679799999994,0x01,,
167.826766200000009,0x0A,,
167.826852599999995,0x02,,
167.826939000000010,0x85,,
167.827025399999997,0x24,,
167.827111800000011,0xCA,,
167.827198199999998,0xC9,,
167.827284600000013,0x99,,
167.827370999999999,0x02,,
167.827457399999986,0xD1,,
167.827543800000001,0xF7,,
167.827630199999987,0x00,,
168.326686550000005,0x01,,
168.326772949999992,0x0A,,
168.326859350000007,0x02,,
168.326945749999993,0x85,,
168.327032150000008,0x24,,
168.327118549999994,0xCA,,
168.327204950000009,0xC9,,
168.327291349999996,0x99,,
168.327377750000011,0x02,,
168.327464149999997,0xD1,,
168.327550550000012,0xF7,,
168.327636949999999,0x00,,
168.826710550000001,0x01,,
168.826796949999988,0x0A,,
168.826883350000003,0x02,,
168.826969749999989,0x86,,
168.827056150000004,0x24,,
168.827142549999991,0xB2,,
168.827228950000006,0xD1,,
168.827315349999992,0x99,,
168.827401750000007,0x02,,
168.827488149999994,0x45,,
168.827574550000008,0x6F,,
168.827660949999995,0x00,,
169.326725900000014,0x01,,
169.326812300000000,0x0A,,
169.326898699999987,0x02,,
169.326985100000002,0x86,,
169.327071499999988,0x24,,
169.327157900000003,0xB2,,
169.327244299999990,0xD1,,
169.327330700000005,0x99,,
169.327417099999991,0x02,,
169.327503500000006,0x45,,
169.327589899999992,0x6F,,
169.327676300000007,0x00,,
169.826732600000014,0x01,,
169.826819000000000,0x0A,,
169.826905399999987,0x02,,
169.826991800000002,0x87,,
169.827078199999988,0x24,,
169.827164600000003,0x9A,,
169.827250999999990,0xD9,,
169.827337400000005,0x99,,
169.827423799999991,0x02,,
169.827510200000006,0xF6,,
169.827596599999993,0xE6,,
169.827683000000007,0x00,,
170.326730700000013,0x01,,
170.326817100000000,0x0A,,
170.326903499999986,0x02,,
170.326989900000001,0x87,,
170.327076299999987,0x24,,
170.327162700000002,0x9A,,
170.327249099999989,0xD9,,
170.327335500000004,0x99,,
170.327421899999990,0x02,,
170.327508300000005,0xF6,,
170.327594699999992,0xE6,,
170.327681100000007,0x00,,
